['Round', 'Choice', 'Action', 'Outcome']
['Round 620', 'door3', 'switch', 'win']
['Round 621', 'door3', 'switch', 'win']
['Round 622', 'door1', 'switch', 'lose']
['Round 623', 'door1', 'switch', 'win']
['Round 624', 'door2', 'switch', 'lose']
['Round 625', 'door3', 'switch', 'win']
['Round 626', 'door2', 'switch', 'win']
['Round 627', 'door3', 'switch', 'win']
['Round 628', 'door1', 'switch', 'lose']
['Round 629', 'door2', 'switch', 'lose']
['Round 630', 'door1', 'switch', 'win']
['Round 631', 'door1', 'switch', 'lose']
['Round 632', 'door3', 'switch', 'win']
['Round 633', 'door3', 'switch', 'win']
['Round 634', 'door2', 'switch', 'win']
['Round 635', 'door1', 'switch', 'lose']
['Round 636', 'door2', 'switch', 'win']
['Round 637', 'door2', 'switch', 'win']
['Round 638', 'door1', 'switch', 'win']
['Round 639', 'door1', 'switch', 'win']
['Round 640', 'door1', 'switch', 'win']
['Round 641', 'door3', 'switch', 'win']
['Round 642', 'door3', 'switch', 'win']
['Round 643', 'door1', 'switch', 'win']
['Round 644', 'door2', 'switch', 'lose']
['Round 645', 'door1', 'switch', 'lose']
['Round 646', 'door1', 'switch', 'win']
['Round 647', 'door2', 'switch', 'win']
['Round 648', 'door1', 'switch', 'lose']
['Round 649', 'door2', 'switch', 'win']
['Round 650', 'door3', 'switch', 'win']
['Round 651', 'door1', 'switch', 'win']
