['Round 381', 'door1', 'stay', 'win']
['Round 382', 'door1', 'stay', 'lose']
['Round 383', 'door2', 'stay', 'lose']
['Round 384', 'door1', 'stay', 'win']
['Round 385', 'door2', 'stay', 'lose']
['Round 386', 'door3', 'stay', 'lose']
['Round 387', 'door2', 'stay', 'win']
['Round 388', 'door3', 'stay', 'lose']
['Round 389', 'door1', 'stay', 'lose']
['Round 390', 'door1', 'stay', 'lose']
['Round 391', 'door2', 'stay', 'lose']
['Round 392', 'door3', 'stay', 'lose']
['Round 393', 'door1', 'stay', 'lose']
['Round 394', 'door2', 'stay', 'win']
['Round 395', 'door3', 'stay', 'lose']
['Round 396', 'door1', 'stay', 'win']
['Round 397', 'door2', 'stay', 'lose']
['Round 398', 'door2', 'stay', 'lose']
['Round 399', 'door2', 'stay', 'lose']
['Round 400', 'door3', 'stay', 'lose']
['Round 401', 'door2', 'stay', 'lose']
['Round 402', 'door2', 'stay', 'lose']
['Round 403', 'door2', 'stay', 'lose']
['Round 404', 'door3', 'stay', 'win']
['Round 405', 'door1', 'stay', 'win']
['Round 406', 'door1', 'stay', 'lose']
['Round 407', 'door2', 'stay', 'lose']
['Round 408', 'door1', 'stay', 'lose']
['Round 409', 'door2', 'stay', 'lose']
['Round 410', 'door2', 'stay', 'lose']
['Round 411', 'door1', 'stay', 'lose']
['Round 412', 'door3', 'stay', 'lose']
['Round 413', 'door2', 'stay', 'lose']
['Round 414', 'door2', 'stay', 'lose']
['Round 415', 'door2', 'stay', 'lose']
['Round 416', 'door2', 'stay', 'lose']
['Round 417', 'door2', 'stay', 'lose']
['Round 418', 'door2', 'stay', 'lose']
['Round 419', 'door1', 'stay', 'lose']
['Round 420', 'door3', 'stay', 'lose']
['Round 421', 'door2', 'stay', 'lose']
['Round 422', 'door3', 'stay', 'lose']
['Round 423', 'door3', 'stay', 'lose']
['Round 424', 'door1', 'stay', 'win']
['Round 425', 'door3', 'stay', 'win']
['Round 426', 'door2', 'stay', 'lose']
['Round 427', 'door2', 'stay', 'lose']
['Round 428', 'door2', 'stay', 'win']
['Round 429', 'door3', 'stay', 'lose']
['Round 430', 'door1', 'stay', 'lose']
